"ID","BusinessName","UPRN","IndustryCode","LegalStatus","TradingStatus","Turnover","EmploymentBands"
73193576,"ALIDENA LP",450783599494,73518,2,2,"G","G"
81874802,"BRACKENBER DEVELOPMENTS LIMITED",181950184354,14133,6,2,"D","E"
83876092,"ACCO EUROPE TRUSTEE COMPANY LIMITED",867687773843,13950,5,1,"F","D"
55251732,"BH ASSOCIATES (WEST SUSSEX) LTD",408730144566,22428,6,1,"B","M"
15994785,"CITY VENT LTD",787633982090,24809,7,4,"B","D"
33698876,"BLUE CAT DESIGN LTD",263925140374,89368,3,2,"D","A"
91350560,"128 VICTORIA RISE LIMITED",231872018240,65808,2,3,"F","I"
13639040,"ASHYBOBO LIMITED",240253849537,52157,5,2,"E","O"
12880563,"AN TSNATHAID MHOR TEORANTA",905328393540,92040,5,2,"A","D"
47375076,"ACTIVA DATA SERVICES LTD",534561227750,49155,8,4,"A","H"
57018380,"CHURCH VIEW RESTAURANT LTD",887246056203,10175,7,1,"C","B"
34770492,"ADVANCED CARING LIMITED",459564962168,85886,4,1,"I","D"
65570688,"AYMA ADMIN LTD",175187716423,99143,8,2,"H","L"
92638085,"BLP CONSULTANCY LTD",319193839747,61396,1,3,"G","H"
53034415,"ARBRO LIMITED",403301290655,31410,3,3,"E","A"
25470833,"BELL & BELL CONSULTANCY LIMITED",939479498914,38705,6,1,"C","D"
